Date,Social Dominance (ETH),Positive sentiment (Total) (ETH),Negative sentiment (Total) (ETH),Weighted sentiment (Total) (ETH),Development Activity (ETH),MVRV Ratio (1d) (ETH),NVT Ratio (with Transaction Volume) (ETH),Active Addresses 24h (ETH),Supply on Exchanges (ETH),Whale Transaction Count (>100k USD) (ETH),Percent of Stablecoin Total Supply held by Whales with more than 5 million USD,Transaction Volume (ETH),Network Growth (ETH)
2025-01-29T00:00:00.000Z,6.577519951177,2720.893703341484,1854.697682082653,-0.101334170069,2229,-0.002241961962999972,57.402773207221,497052,15232239.224830177,78364,47.451613857566,19779063.681274645,982387
2025-01-30T00:00:00.000Z,7.18166042631,2778.2949000597,2382.5997402668,-0.619150346959,2435,0.008316345524999935,43.808159823987,478006,15168329.557282576,80211,47.573059503834,30348001.69661768,756371
2025-01-31T00:00:00.000Z,7.912060663142,2778.2949000597,2382.5997402668,-0.619150346959,2435,0.008316345524999935,43.808159823987,478006,15168329.557282576,80211,47.573059503834,30348001.69661768,756371
2025-02-01T00:00:00.000Z,7.001126010482,2778.2949000597,2382.5997402668,-0.619150346959,2435,0.008316345524999935,43.808159823987,478006,15168329.557282576,80211,47.573059503834,30348001.69661768,756371
2025-02-02T00:00:00.000Z,7.463954708888,2778.2949000597,2382.5997402668,-0.619150346959,2435,0.008316345524999935,43.808159823987,478006,15168329.557282576,80211,47.573059503834,30348001.69661768,756371
2025-02-03T00:00:00.000Z,12.405221957627,2778.2949000597,2382.5997402668,-0.619150346959,2435,0.008316345524999935,43.808159823987,478006,15168329.557282576,80211,47.573059503834,30348001.69661768,756371
2025-02-04T00:00:00.000Z,9.950262641843,2778.2949000597,2382.5997402668,-0.619150346959,2435,0.008316345524999935,43.808159823987,478006,15168329.557282576,80211,47.573059503834,30348001.69661768,756371
2025-02-05T00:00:00.000Z,8.060081787719,2778.2949000597,2382.5997402668,-0.619150346959,2435,0.008316345524999935,43.808159823987,478006,15168329.557282576,80211,47.573059503834,30348001.69661768,756371
2025-02-06T00:00:00.000Z,8.691387950214,2291.596739590168,1925.060749411583,-0.287658356268,2275,0.036602285974999926,46.028375025194,501338,14853239.704015905,43632,48.460079267561,22046081.118141383,843444
2025-02-07T00:00:00.000Z,7.519426668673,2291.596739590168,1925.060749411583,-0.287658356268,2275,0.036602285974999926,46.028375025194,501338,14853239.704015905,43632,48.460079267561,22046081.118141383,843444
2025-02-08T00:00:00.000Z,8.813201904467,2291.596739590168,1925.060749411583,-0.287658356268,2275,0.036602285974999926,46.028375025194,501338,14853239.704015905,43632,48.460079267561,22046081.118141383,843444
2025-02-09T00:00:00.000Z,8.299002820238,2291.596739590168,1925.060749411583,-0.287658356268,2275,0.036602285974999926,46.028375025194,501338,14853239.704015905,43632,48.460079267561,22046081.118141383,843444
2025-02-10T00:00:00.000Z,8.691554139825,2291.596739590168,1925.060749411583,-0.287658356268,2275,0.036602285974999926,46.028375025194,501338,14853239.704015905,43632,48.460079267561,22046081.118141383,843444
2025-02-11T00:00:00.000Z,7.234361425143,2291.596739590168,1925.060749411583,-0.287658356268,2275,0.036602285974999926,46.028375025194,501338,14853239.704015905,43632,48.460079267561,22046081.118141383,843444
2025-02-12T00:00:00.000Z,8.368668757324,2291.596739590168,1925.060749411583,-0.287658356268,2275,0.036602285974999926,46.028375025194,501338,14853239.704015905,43632,48.460079267561,22046081.118141383,843444
2025-02-13T00:00:00.000Z,7.867065305749,2042.690353155136,1412.729364216328,-0.006864232947,2651,0.0036312053030000957,66.050054778684,502190,14704178.78808475,39819,48.166510441721,16703671.806897277,785126
2025-02-14T00:00:00.000Z,6.554167381472,2042.690353155136,1412.729364216328,-0.006864232947,2651,0.0036312053030000957,66.050054778684,502190,14704178.78808475,39819,48.166510441721,16703671.806897277,785126
2025-02-15T00:00:00.000Z,6.683539731728,2042.690353155136,1412.729364216328,-0.006864232947,2651,0.0036312053030000957,66.050054778684,502190,14704178.78808475,39819,48.166510441721,16703671.806897277,785126
2025-02-16T00:00:00.000Z,6.275287981862,2042.690353155136,1412.729364216328,-0.006864232947,2651,0.0036312053030000957,66.050054778684,502190,14704178.78808475,39819,48.166510441721,16703671.806897277,785126
2025-02-17T00:00:00.000Z,8.848606780324,2042.690353155136,1412.729364216328,-0.006864232947,2651,0.0036312053030000957,66.050054778684,502190,14704178.78808475,39819,48.166510441721,16703671.806897277,785126
2025-02-18T00:00:00.000Z,7.000053861509,2042.690353155136,1412.729364216328,-0.006864232947,2651,0.0036312053030000957,66.050054778684,502190,14704178.78808475,39819,48.166510441721,16703671.806897277,785126
2025-02-19T00:00:00.000Z,5.828843666125,2042.690353155136,1412.729364216328,-0.006864232947,2651,0.0036312053030000957,66.050054778684,502190,14704178.78808475,39819,48.166510441721,16703671.806897277,785126
2025-02-20T00:00:00.000Z,6.02815722438,2299.871082186699,2493.388547480106,-1.035603208077,1999,-0.025198530399999974,39.803134435705,502999,14383175.6211001,65212,47.830010980697,28912082.38164655,843187
2025-02-21T00:00:00.000Z,9.688959640794,2299.871082186699,2493.388547480106,-1.035603208077,1999,-0.025198530399999974,39.803134435705,502999,14383175.6211001,65212,47.830010980697,28912082.38164655,843187
2025-02-22T00:00:00.000Z,12.423089760837,2299.871082186699,2493.388547480106,-1.035603208077,1999,-0.025198530399999974,39.803134435705,502999,14383175.6211001,65212,47.830010980697,28912082.38164655,843187
2025-02-23T00:00:00.000Z,10.709573205633,2299.871082186699,2493.388547480106,-1.035603208077,1999,-0.025198530399999974,39.803134435705,502999,14383175.6211001,65212,47.830010980697,28912082.38164655,843187
2025-02-24T00:00:00.000Z,9.03613380199,2299.871082186699,2493.388547480106,-1.035603208077,1999,-0.025198530399999974,39.803134435705,502999,14383175.6211001,65212,47.830010980697,28912082.38164655,843187
2025-02-25T00:00:00.000Z,7.990905548356,2299.871082186699,2493.388547480106,-1.035603208077,1999,-0.025198530399999974,39.803134435705,502999,14383175.6211001,65212,47.830010980697,28912082.38164655,843187
