coin,run,model,RMSE,MAE,MAPE,R2,epochs,final_lr
SOL,1,GRU-Price,6.935053285745589,4.969835166931153,3.5728367858177323,0.9764344855073656,106,9.765625463842298e-07
SOL,1,GRU-Sentiment,7.2921513826570585,5.4034392663706905,3.8168711609750843,0.9739451442550308,83,7.812500371073838e-06
SOL,1,GRU-OnChain,7.126704725409191,5.1472246501756755,3.730749899223298,0.9751140140228491,65,1.5625000742147677e-05
SOL,1,GRU-Full,7.20941014923017,5.14983538420304,3.6070421035403517,0.9745330586332664,79,3.125000148429535e-05
SOL,2,LSTM-Price,7.817264196801845,5.506843848850416,3.948476032611623,0.9700575797869467,140,2.4414063659605745e-07
SOL,2,LSTM-Sentiment,8.05712280372545,5.825204127767813,4.088297781066127,0.9681919322806396,107,3.906250185536919e-06
SOL,2,LSTM-OnChain,7.801208494628289,5.578022253616997,3.9882744800459413,0.9701804495971358,87,7.812500371073838e-06
SOL,2,LSTM-Full,8.00065770344987,5.817287066915762,4.038028038136458,0.9686361981421265,106,3.906250185536919e-06
SOL,2,GRU-Price,6.969023822710463,4.948138291732125,3.555746803822226,0.9762030543109262,115,4.882812731921149e-07
SOL,2,GRU-Sentiment,7.271007524311795,5.318355989870819,3.808541016098611,0.974096019208841,55,3.125000148429535e-05
SOL,2,GRU-OnChain,7.8073679114776455,5.452808681985607,3.885714654636945,0.9701333431649127,37,6.25000029685907e-05
SOL,2,GRU-Full,7.091212610877022,5.104273401343304,3.618393690704654,0.9753612690784972,48,6.25000029685907e-05
SOL,3,LSTM-Price,8.025638809135815,5.6292131390778914,4.028316202398477,0.9684400328580234,139,2.4414063659605745e-07
SOL,3,LSTM-Sentiment,8.625679161046076,6.350281990714694,4.475159614680758,0.963544427601734,119,9.765625463842298e-07
SOL,3,LSTM-OnChain,8.288596537039847,5.883258997046431,4.196479049258702,0.9663380460656836,94,7.812500371073838e-06
SOL,3,LSTM-Full,8.851430257071415,6.5973789712657105,4.575955590445685,0.9616112275684928,99,3.906250185536919e-06
SOL,3,GRU-Price,7.154760109936019,5.1120821231344475,3.6873006528349594,0.974917693228956,150,1.0000000116860974e-07
SOL,3,GRU-Sentiment,7.380072779764675,5.565800734810207,4.023355411084398,0.9733130703582077,112,9.765625463842298e-07
SOL,3,GRU-OnChain,8.019521007155193,5.734032733751381,4.229144563329649,0.9684881297246417,51,3.125000148429535e-05
